piece,performer,year,measure.beat,tempo
mazurka17_4,Afanassiev,2001,107.3,54.05405405
mazurka17_4,Afanassiev,2001,108.1,58.82352941
mazurka17_4,Afanassiev,2001,108.2,52.17391304
mazurka17_4,Afanassiev,2001,108.3,56.07476636
mazurka17_4,Afanassiev,2001,109.1,64.51612903
mazurka17_4,Afanassiev,2001,109.2,64.51612903
mazurka17_4,Afanassiev,2001,109.3,67.41573034
mazurka17_4,Afanassiev,2001,110.1,71.42857143
mazurka17_4,Afanassiev,2001,110.2,68.18181818
mazurka17_4,Afanassiev,2001,110.3,65.93406593
mazurka17_4,Afanassiev,2001,111.1,75
mazurka17_4,Afanassiev,2001,111.2,61.8556701
mazurka17_4,Afanassiev,2001,111.3,63.82978723
mazurka17_4,Afanassiev,2001,112.1,63.82978723
mazurka17_4,Afanassiev,2001,112.2,67.41573034
mazurka17_4,Afanassiev,2001,112.3,69.76744186
mazurka17_4,Afanassiev,2001,113.1,75
mazurka17_4,Afanassiev,2001,113.2,60
mazurka17_4,Afanassiev,2001,113.3,65.2173913
mazurka17_4,Afanassiev,2001,114.1,63.15789474
mazurka17_4,Afanassiev,2001,114.2,66.66666667
mazurka17_4,Afanassiev,2001,114.3,73.17073171
mazurka17_4,Afanassiev,2001,115.1,65.93406593
mazurka17_4,Afanassiev,2001,115.2,54.89284898
mazurka17_4,Afanassiev,2001,115.3,68.41805866
mazurka17_4,Afanassiev,2001,116.1,55.04587156
mazurka17_4,Afanassiev,2001,116.2,56.60377358
mazurka17_4,Afanassiev,2001,116.3,55.04587156
mazurka17_4,Afanassiev,2001,117.1,58.25242718
mazurka17_4,Afanassiev,2001,117.2,61.8556701
mazurka17_4,Afanassiev,2001,117.3,61.2244898
mazurka17_4,Afanassiev,2001,118.1,60.60606061
mazurka17_4,Afanassiev,2001,118.2,58.82352941
mazurka17_4,Afanassiev,2001,118.3,66.66666667
mazurka17_4,Afanassiev,2001,119.1,67.41573034
mazurka17_4,Afanassiev,2001,119.2,65.2173913
mazurka17_4,Afanassiev,2001,119.3,58.25242718
mazurka17_4,Afanassiev,2001,120.1,60.60606061
mazurka17_4,Afanassiev,2001,120.2,64.51612903
mazurka17_4,Afanassiev,2001,120.3,69.76744186
mazurka17_4,Afanassiev,2001,121.1,68.96551724
mazurka17_4,Afanassiev,2001,121.2,59.35397038
mazurka17_4,Afanassiev,2001,121.3,53.13893241
mazurka17_4,Afanassiev,2001,122.1,64.51612903
mazurka17_4,Afanassiev,2001,122.2,59.40594059
mazurka17_4,Afanassiev,2001,122.3,56.08308605
mazurka17_4,Afanassiev,2001,123.1,69.75456728
mazurka17_4,Afanassiev,2001,123.2,49.18032787
mazurka17_4,Afanassiev,2001,123.3,65.2173913
mazurka17_4,Afanassiev,2001,124.1,69.76744186
mazurka17_4,Afanassiev,2001,124.2,65.2173913
mazurka17_4,Afanassiev,2001,124.3,74.07407407
mazurka17_4,Afanassiev,2001,125.1,68.18181818
mazurka17_4,Afanassiev,2001,125.2,72.28915663
mazurka17_4,Afanassiev,2001,125.3,52.63157895
mazurka17_4,Afanassiev,2001,126.1,68.18181818
mazurka17_4,Afanassiev,2001,126.2,66.66666667
mazurka17_4,Afanassiev,2001,126.3,75.94936709
mazurka17_4,Afanassiev,2001,127.1,61.2244898
mazurka17_4,Afanassiev,2001,127.2,46.875
mazurka17_4,Afanassiev,2001,127.3,33.33333333
mazurka17_4,Afanassiev,2001,128.1,31.0880829
mazurka17_4,Afanassiev,2001,128.2,31.0880829
mazurka17_4,Afanassiev,2001,128.3,31.0880829
mazurka17_4,Afanassiev,2001,129.1,31.0880829
mazurka17_4,Afanassiev,2001,129.2,59.40594059
mazurka17_4,Afanassiev,2001,129.3,61.2244898
mazurka17_4,Afanassiev,2001,130.1,65.2173913
mazurka17_4,Afanassiev,2001,130.2,63.82978723
mazurka17_4,Afanassiev,2001,130.3,61.8556701
mazurka17_4,Afanassiev,2001,131.1,57.69230769
mazurka17_4,Afanassiev,2001,131.2,48.3977173
mazurka17_4,Afanassiev,2001,131.3,37.26078323
mazurka17_4,Afanassiev,2001,132.1,35.0877193
mazurka17_4,Afanassiev,2001,132.2,20.7110318
mazurka17_4,Afanassiev,2001,132.3,20.7110318
mazurka17_4,Afanassiev,2001,133.1
mazurka17_4,Ashkenazy,1981,measure.beat,tempo
mazurka17_4,Ashkenazy,1981,1.2,99.32805284
mazurka17_4,Ashkenazy,1981,1.3,113.2075472
mazurka17_4,Ashkenazy,1981,2.1,120
mazurka17_4,Ashkenazy,1981,2.2,116.9657856
mazurka17_4,Ashkenazy,1981,2.3,105.8146044
mazurka17_4,Ashkenazy,1981,3.1,105.7807628
mazurka17_4,Ashkenazy,1981,3.2,93.53789595
mazurka17_4,Ashkenazy,1981,3.3,60.09265988
mazurka17_4,Ashkenazy,1981,4.1,32.07272728
mazurka17_4,Ashkenazy,1981,4.2,35.5287009
mazurka17_4,Ashkenazy,1981,4.3,35.5287009
mazurka17_4,Ashkenazy,1981,5.1,50.95320626
mazurka17_4,Ashkenazy,1981,5.2,73.93539728
mazurka17_4,Ashkenazy,1981,5.3,71.77734378
mazurka17_4,Ashkenazy,1981,6.1,91.06552866
mazurka17_4,Ashkenazy,1981,6.2,98.20368166
mazurka17_4,Ashkenazy,1981,6.3,96.81314257
mazurka17_4,Ashkenazy,1981,7.1,96.3829091
mazurka17_4,Ashkenazy,1981,7.2,94.12015782
mazurka17_4,Ashkenazy,1981,7.3,67.14543105
mazurka17_4,Ashkenazy,1981,8.1,100.8384146
mazurka17_4,Ashkenazy,1981,8.2,107.3863636
mazurka17_4,Ashkenazy,1981,8.3,88.72049358
mazurka17_4,Ashkenazy,1981,9.1,105.9332212
mazurka17_4,Ashkenazy,1981,9.2,124.6349507
mazurka17_4,Ashkenazy,1981,9.3,111.401145
mazurka17_4,Ashkenazy,1981,10.1,117.4955596
mazurka17_4,Ashkenazy,1981,10.2,125.2840908
mazurka17_4,Ashkenazy,1981,10.3,102.0833333
mazurka17_4,Ashkenazy,1981,11.1,121.7839554
mazurka17_4,Ashkenazy,1981,11.2,135.3245029
mazurka17_4,Ashkenazy,1981,11.3,100.3489076
mazurka17_4,Ashkenazy,1981,12.1,92.90730347
mazurka17_4,Ashkenazy,1981,12.2,86.85661762
mazurka17_4,Ashkenazy,1981,12.3,71.24969703
mazurka17_4,Ashkenazy,1981,13.1,80.00967616
mazurka17_4,Ashkenazy,1981,13.2,86.6745283
mazurka17_4,Ashkenazy,1981,13.3,67.11647727
mazurka17_4,Ashkenazy,1981,14.1,101.0849634
mazurka17_4,Ashkenazy,1981,14.2,113.1397784
mazurka17_4,Ashkenazy,1981,14.3,81.93726202
mazurka17_4,Ashkenazy,1981,15.1,73.04549467
mazurka17_4,Ashkenazy,1981,15.2,68.90625003
mazurka17_4,Ashkenazy,1981,15.3,86.85661762
mazurka17_4,Ashkenazy,1981,16.1,104.3869338
mazurka17_4,Ashkenazy,1981,16.2,128.8218112
mazurka17_4,Ashkenazy,1981,16.3,121.3984217
mazurka17_4,Ashkenazy,1981,17.1,114.7043524
mazurka17_4,Ashkenazy,1981,17.2,127.9992261
mazurka17_4,Ashkenazy,1981,17.3,105.738491
mazurka17_4,Ashkenazy,1981,18.1,85.42097109
mazurka17_4,Ashkenazy,1981,18.2,93.99644752
mazurka17_4,Ashkenazy,1981,18.3,81.04134771
mazurka17_4,Ashkenazy,1981,19.1,83.18661963
mazurka17_4,Ashkenazy,1981,19.2,77.08442579
mazurka17_4,Ashkenazy,1981,19.3,76.32839098
mazurka17_4,Ashkenazy,1981,20.1,79.20258615
mazurka17_4,Ashkenazy,1981,20.2,107.841539
mazurka17_4,Ashkenazy,1981,20.3,96.77419355
mazurka17_4,Ashkenazy,1981,21.1,89.79841177
mazurka17_4,Ashkenazy,1981,21.2,121.9917012
mazurka17_4,Ashkenazy,1981,21.3,107.9207115
mazurka17_4,Ashkenazy,1981,22.1,126.5725901
mazurka17_4,Ashkenazy,1981,22.2,137.6476098
mazurka17_4,Ashkenazy,1981,22.3,126.0480181
mazurka17_4,Ashkenazy,1981,23.1,114.5256234
mazurka17_4,Ashkenazy,1981,23.2,102.7054302
mazurka17_4,Ashkenazy,1981,23.3,83.11084595
mazurka17_4,Ashkenazy,1981,24.1,108.2297119
mazurka17_4,Ashkenazy,1981,24.2,133.3669356
mazurka17_4,Ashkenazy,1981,24.3,71.95888062
mazurka17_4,Ashkenazy,1981,25.1,101.6949153
mazurka17_4,Ashkenazy,1981,25.2,127.6595745
mazurka17_4,Ashkenazy,1981,25.3,112.0284517
mazurka17_4,Ashkenazy,1981,26.1,114.2092541
mazurka17_4,Ashkenazy,1981,26.2,117.1211049
mazurka17_4,Ashkenazy,1981,26.3,112.3471467
mazurka17_4,Ashkenazy,1981,27.1,117.1211047
mazurka17_4,Ashkenazy,1981,27.2,122.3414093
mazurka17_4,Ashkenazy,1981,27.3,97.03681979
mazurka17_4,Ashkenazy,1981,28.1,103.359375
mazurka17_4,Ashkenazy,1981,28.2,114.8437499
mazurka17_4,Ashkenazy,1981,28.3,69.83741554
mazurka17_4,Ashkenazy,1981,29.1,72.66036909
mazurka17_4,Ashkenazy,1981,29.2,90.66611835
mazurka17_4,Ashkenazy,1981,29.3,92.28515627
mazurka17_4,Ashkenazy,1981,30.1,124.5059288
mazurka17_4,Ashkenazy,1981,30.2,107.1428571
mazurka17_4,Ashkenazy,1981,30.3,64.51612903
mazurka17_4,Ashkenazy,1981,31.1,61.70565056
mazurka17_4,Ashkenazy,1981,31.2,98.85675849
mazurka17_4,Ashkenazy,1981,31.3,76.99022345
mazurka17_4,Ashkenazy,1981,32.1,99.86413052
mazurka17_4,Ashkenazy,1981,32.2,119.8640995
mazurka17_4,Ashkenazy,1981,32.3,111.1111111
mazurka17_4,Ashkenazy,1981,33.1,111.1111111
mazurka17_4,Ashkenazy,1981,33.2,117.6470588
mazurka17_4,Ashkenazy,1981,33.3,95.23809524
mazurka17_4,Ashkenazy,1981,34.1,85.35759219
mazurka17_4,Ashkenazy,1981,34.2,107.7054585
